property_type,sector,price,bedRoom,bathroom,agePossession,built_up_area,servant room,furnishing_type,luxury_category
1,sector 25,6.5,4.0,3.0,old,1800.0,0.0,0.0,0
0,sohna road,0.66,2.0,2.0,new,978.0,0.0,0.0,0
0,sector 110,1.91,3.0,4.0,new,1587.0,1.0,1.0,2
0,sector 110,3.7,4.0,5.0,new,3077.0,1.0,0.0,2
0,sector 92,0.65,3.0,3.0,new,1574.0,0.0,0.0,0
0,sector 79,1.3,2.0,4.0,new,1223.0,0.0,0.0,1
0,sector 85,1.99,3.0,4.0,new,2398.0,1.0,1.0,2
0,sector 65,2.86,3.0,3.0,under construction,2267.0,1.0,0.0,0
0,sector 56,1.35,3.0,2.0,old,1275.0,0.0,0.0,2
0,sector 90,1.3,3.0,3.0,new,1700.0,0.0,0.0,1
1,sector 4,0.8,5.0,4.0,under construction,146.0,0.0,0.0,0
0,sector 93,0.85,2.0,2.0,new,597.0,0.0,0.0,0
1,sector 38,4.0,4.0,9.0,new,4800.0,0.0,1.0,2
0,sector 48,1.5,3.0,3.0,old,1600.0,0.0,1.0,1
0,sector 107,0.82,2.0,2.0,new,1236.0,0.0,0.0,1
0,sector 90,0.96,3.0,4.0,new,1697.0,1.0,0.0,1
0,sector 88a,1.62,3.0,2.0,new,1463.0,0.0,2.0,0
0,sector 113,3.45,4.0,4.0,under construction,2353.0,1.0,0.0,2
0,sector 93,1.45,3.0,4.0,new,1350.0,0.0,1.0,1
0,sector 6,0.6,2.0,2.0,new,790.0,0.0,1.0,0
1,sector 3,0.92,4.0,1.0,old,603.0,0.0,0.0,0
0,sector 104,2.49,3.0,3.0,new,2217.0,1.0,1.0,1
0,sector 69,1.37,3.0,3.0,new,1568.0,0.0,0.0,1
0,manesar,0.92,3.0,3.0,old,1924.0,1.0,0.0,0
1,sector 105,0.37,2.0,2.0,old,450.0,0.0,0.0,0
0,sector 79,0.95,2.0,2.0,new,1611.0,0.0,1.0,2
0,sector 36a,0.65,2.0,2.0,new,657.0,0.0,0.0,1
1,sector 13,2.25,10.0,10.0,old,400.0,0.0,0.0,0
0,sector 102,1.3,3.0,3.0,new,1388.0,1.0,0.0,1
0,sector 113,1.5,2.0,2.0,new,1418.0,0.0,0.0,1
0,sector 107,1.32,3.0,3.0,new,1758.0,0.0,0.0,1
1,sector 33,11.0,5.0,6.0,new,4125.0,1.0,0.0,1
1,sector 57,6.25,9.0,9.0,new,2660.0,1.0,1.0,1
0,sector 109,1.65,3.0,3.0,new,1946.0,1.0,1.0,0
0,sector 47,1.8,4.0,4.0,old,2857.0,0.0,1.0,1
0,sector 106,1.5,4.0,6.0,new,1535.0,1.0,0.0,2
1,sector 2,9.0,5.0,5.0,old,4680.0,1.0,2.0,1
0,sector 104,2.78,4.0,4.0,new,2851.0,1.0,0.0,1
0,sector 49,2.9,4.0,4.0,old,2157.0,1.0,0.0,1
0,sector 47,1.65,3.0,3.0,old,1906.0,0.0,1.0,1
0,sector 37c,0.86,2.0,3.0,new,1442.0,0.0,0.0,0
0,sector 37d,1.65,4.0,3.0,new,2091.0,0.0,1.0,1
0,sohna road,0.54,2.0,2.0,new,676.0,0.0,0.0,0
0,sector 67,1.2,3.0,3.0,new,200.0,0.0,0.0,0
0,sector 65,1.9,2.0,2.0,under construction,1141.0,0.0,0.0,1
0,sector 65,2.33,2.0,2.0,under construction,1141.0,0.0,1.0,0
0,sector 72,5.0,4.0,4.0,old,4500.0,1.0,1.0,2
0,sector 103,0.9,2.0,2.0,new,1222.0,0.0,0.0,0
0,sector 65,2.79,4.0,4.0,new,2194.0,1.0,2.0,2
0,sector 109,2.25,3.0,4.0,new,2339.0,1.0,0.0,1
1,sector 56,7.25,8.0,8.0,old,2471.0,0.0,1.0,0
0,sector 92,0.45,2.0,2.0,new,646.0,0.0,1.0,0
0,sector 37d,1.0,3.0,3.0,new,1163.0,0.0,0.0,0
0,sector 79,1.9,3.0,4.0,under construction,1946.0,0.0,0.0,1
1,sector 7,2.3,5.0,3.0,old,1350.0,1.0,0.0,0
0,sector 95,0.6,2.0,2.0,new,974.0,0.0,0.0,0
1,sector 48,8.5,4.0,6.0,old,3240.0,1.0,0.0,0
1,sector 31,3.5,4.0,4.0,old,1449.0,0.0,1.0,1
0,sector 104,4.45,4.0,5.0,new,7222.0,0.0,0.0,1
0,sector 61,2.5,3.0,3.0,under construction,1549.0,0.0,0.0,1
0,sector 49,1.9,3.0,3.0,old,2006.0,1.0,0.0,1
